enabled,date,weekday,title,session_type,planned_duration_min,planned_km,planned_hr_min,planned_hr_max,planned_notes,event_mode_override,start_time_override,end_time_override,status,actual_km,actual_duration_min,actual_avg_hr,actual_max_hr,actual_avg_pace,actual_rpe,actual_notes,feedback_summary,calendar_event_id,event_last_synced_at,calendar_title_snapshot
TRUE,2026-04-09,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,9rek8qprsec4cv7s5hvobi7v40@google.com,2026.03.27.,TRAIN Football
TRUE,2026-04-10,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,2hm2o9cg00cu6tcaenibnfj25k@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-04-11,Saturday,Medium Z2 run,run,55,10,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,n8j2s387ten570lohc7n80dll0@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-04-12,Sunday,Bike hills,bike,75,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,j4nu6n9bgo56a246ncgivs6vbo@google.com,2026.03.27.,TRAIN Bike hills
TRUE,2026-04-13,Monday,Easy / prep,run,40,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,d2n5fu9tj4djpldl9r06ltqd4o@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-04-14,Tuesday,Long run,run,95,16,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,v0hji7t1vti014rn7a09nn43l0@google.com,2026.03.27.,TRAIN Long run
TRUE,2026-04-15,Wednesday,Recovery / optional jog,recovery,,,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,jlp5p9c7lr3vmn23g5tgegqgbo@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-04-16,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,115thnvu4mthllf05f16mcif8c@google.com,2026.03.27.,TRAIN Football
TRUE,2026-04-17,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,81f6u5ismvpjgrksbj8pi22874@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-04-18,Saturday,Medium Z2 run,run,55,10,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,snmq1sfn2o0iemu8kaqm0nq1uo@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-04-19,Sunday,Bike hills,bike,80,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,p1v8sa494pqk583614p8rpv5hs@google.com,2026.03.27.,TRAIN Bike hills
TRUE,2026-04-20,Monday,Easy / prep,run,35,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,8cvr4sa19n4kb56rbkrnge7iqo@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-04-21,Tuesday,Long run (deload),run,75,12,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,p3k0rhluc3cd7j1q3dseavf688@google.com,2026.03.27.,TRAIN Long run (deload)
TRUE,2026-04-22,Wednesday,Recovery / optional jog,recovery,30,4,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,pref2htd8ufnpo234hnobnvguc@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-04-23,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,ujd6s1gr36hmkslhmh97brugv0@google.com,2026.03.27.,TRAIN Football
TRUE,2026-04-24,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,rn8smmvq4skun14fvtb15v2er0@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-04-25,Saturday,Easy Z2 run,run,45,8,125,140,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,q2cdvqc777hei25s2i51fvuef4@google.com,2026.03.27.,TRAIN Easy Z2 run
TRUE,2026-04-26,Sunday,Bike easy,bike,60,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,fnc4telctv1u2p5rmv9ca7773s@google.com,2026.03.27.,TRAIN Bike easy
TRUE,2026-04-27,Monday,Easy / prep,run,40,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,pdjecpk6qj6ntbjpqve9p8c2rk@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-04-28,Tuesday,Long run,run,110,18,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,c0v8rn1nls5fenbjfhog1guk2k@google.com,2026.03.27.,TRAIN Long run
TRUE,2026-04-29,Wednesday,Recovery / optional jog,recovery,,,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,oholpcoubev06nkgoahe6p50qg@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-04-30,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,m81imj5h7kpckcg7206tvehuok@google.com,2026.03.27.,TRAIN Football
TRUE,2026-05-01,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,8aabgh5v67pb61b48d2g6uvijo@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-05-02,Saturday,Medium Z2 run,run,60,11,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,mrhmhegufjalqi50v6romgh3rg@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-05-03,Sunday,Bike hills,bike,80,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,sdb37541vstha32nq3gfplanh0@google.com,2026.03.27.,TRAIN Bike hills
TRUE,2026-05-04,Monday,Easy / prep,run,35,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,a60c34o9klfs1gduag5471108s@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-05-05,Tuesday,Long run,run,120,20,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,7c4l7i6f6u6hp0imslsadf5e68@google.com,2026.03.27.,TRAIN Long run
TRUE,2026-05-06,Wednesday,Recovery / optional jog,recovery,30,4,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,2k29uhbhka8p75aurhomfi8qhk@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-05-07,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,urrc62bsv998g09dh9ki9518o0@google.com,2026.03.27.,TRAIN Football
TRUE,2026-05-08,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,h8808tf8vfd33kpmmhn0j7tfho@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-05-09,Saturday,Medium Z2 run,run,60,11,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,fd6rqmdjktb3g5ubm1qcvt0uk0@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-05-10,Sunday,Bike hills,bike,80,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,94gn891p1lho2lg7kff1c96ifk@google.com,2026.03.27.,TRAIN Bike hills
TRUE,2026-05-11,Monday,Easy / prep,run,40,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,a7nei92hb1m06cksehd5adkavg@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-05-12,Tuesday,Long run,run,130,22,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,o9rorj5t6ta0ih8tq06krvd1ck@google.com,2026.03.27.,TRAIN Long run
TRUE,2026-05-13,Wednesday,Recovery / optional jog,recovery,,,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,rqj82v0j19dp44auga61udtqng@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-05-14,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,hftafuhrkduj3gofq1u58s7eck@google.com,2026.03.27.,TRAIN Football
TRUE,2026-05-15,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,5j0rmhd445jq810qn5lqlv08d8@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-05-16,Saturday,Medium Z2 run,run,65,12,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,gh2486m5li6nkeoc093g1893vc@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-05-17,Sunday,Bike hills,bike,75,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,5jb2u25elu7tqltak0gej30i20@google.com,2026.03.27.,TRAIN Bike hills
TRUE,2026-05-18,Monday,Easy / prep,run,35,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,o1r45q6glt95u1r4h9s5mqe3os@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-05-19,Tuesday,Long run (cutback),run,95,16,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,v6dtro7qtu6qg9umqcau6ectuc@google.com,2026.03.27.,TRAIN Long run (cutback)
TRUE,2026-05-20,Wednesday,Recovery / optional jog,recovery,30,4,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,d6icqhdk6sol6cdgl99tfqr0j4@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-05-21,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,72nff0t4nrc8or7duojt6db3bg@google.com,2026.03.27.,TRAIN Football
TRUE,2026-05-22,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,rgm6u1cbrt60t28rt8kc9im6f4@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-05-23,Saturday,Medium Z2 run,run,50,9,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,d4o5o0v0emsnqa0i9oa2o4vjkk@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-05-24,Sunday,Bike hills,bike,60,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,tq1vlcejr5r9bg39get950f364@google.com,2026.03.27.,TRAIN Bike hills
